n,operations,time
100000,2639061255,24.147
100000,2631218052,24.208
100000,2635327378,24.227
100000,2640463494,24.243
100000,2633827693,24.216
100000,2641224642,24.245
100000,2637261534,24.27
100000,2640488025,24.36
100000,2635807363,24.188
100000,2635338863,24.103
150000,685628410,45.889
150000,682741567,45.949
150000,693618073,45.902
150000,688282109,45.867
150000,694986592,45.926
150000,702054806,45.82
150000,689269001,45.806
150000,695197502,45.958
150000,701036844,45.988
150000,695104003,45.705
